Category,Physics,Chemistry,Math,Qualified_For_Advanced
SC,67,2,39,1
SC,11,32,14,0
General,22,48,37,1
OBC,5,26,18,0
General,8,40,57,1
General,38,52,71,1
OBC,47,39,45,1
ST,16,61,38,1
OBC,22,21,18,0
General,44,0,6,0
General,59,58,32,1
EWS,39,-10,53,0
SC,2,22,27,0
SC,22,35,9,1
OBC,38,23,24,0
SC,47,4,54,1
ST,12,34,10,1
General,53,10,18,0
SC,61,32,19,1
OBC,44,39,10,1
OBC,63,55,35,1
EWS,32,33,12,0
OBC,5,35,14,0
General,27,44,23,0
SC,30,59,49,1
ST,41,10,31,1
General,49,7,39,0
ST,-10,78,18,1
General,2,5,31,0
SC,32,43,14,1
ST,70,53,7,1
OBC,23,22,18,0
General,41,43,45,1
SC,43,54,41,1
OBC,-4,54,15,0
General,14,27,25,0
OBC,52,30,23,1
OBC,39,50,53,1
OBC,3,70,10,0
OBC,4,100,63,1
EWS,-10,12,43,0
ST,76,74,17,1
OBC,51,69,27,1
ST,57,69,62,1
EWS,36,78,42,1
OBC,40,38,53,1
OBC,40,39,37,1
OBC,52,36,42,1
General,23,85,24,1
OBC,55,38,33,1
SC,-1,24,66,1
OBC,58,94,55,1
OBC,-10,46,55,1
SC,46,51,16,1
General,13,35,38,0
ST,60,48,14,1
OBC,10,33,46,0
OBC,65,13,36,1
General,18,11,20,0
ST,23,44,0,1
General,26,50,34,1
ST,11,3,0,0
General,18,18,21,0
OBC,18,31,56,1
General,33,42,51,1
SC,30,30,48,1
SC,15,38,58,1
OBC,50,15,20,0
EWS,56,45,33,1
OBC,46,20,44,1
General,20,35,21,0
OBC,30,42,19,1
ST,59,4,35,1
General,65,55,28,1
SC,30,43,47,1
EWS,30,31,-2,0
EWS,36,-7,15,0
General,38,56,30,1
General,36,27,39,0
SC,15,32,28,1
OBC,27,8,-3,0
EWS,59,67,13,1
General,39,27,25,0
OBC,38,6,19,0
General,33,46,51,1
EWS,0,62,21,0
General,38,0,39,0
ST,25,3,37,1
ST,32,21,37,1
SC,52,38,20,1
SC,52,36,52,1
OBC,43,45,17,1
OBC,3,52,51,1
OBC,7,11,50,0
General,2,38,55,0
SC,41,26,21,1
General,39,48,14,0
EWS,53,17,57,1
SC,33,6,35,1
General,36,48,11,0
OBC,59,58,42,1
General,58,26,6,0
SC,56,5,18,1
General,27,34,30,0
General,41,36,43,1
SC,30,12,23,1
SC,33,38,-1,1
General,54,66,21,1
SC,32,65,30,1
General,57,34,26,1
General,25,65,36,1
General,68,51,39,1
ST,29,57,42,1
EWS,57,14,30,1
General,23,57,40,1
OBC,52,18,27,1
OBC,37,51,16,1
SC,44,34,44,1
SC,38,47,19,1
OBC,52,-10,36,0
ST,53,68,58,1
SC,42,65,12,1
OBC,28,60,51,1
General,31,29,24,0
General,20,8,18,0
SC,19,67,46,1
General,-10,25,37,0
SC,48,25,24,1
ST,32,41,42,1
ST,5,34,10,1
SC,36,44,4,1
SC,67,45,17,1
General,16,53,41,1
General,32,42,22,0
General,40,48,42,1
OBC,32,66,22,1
SC,37,29,17,1
OBC,-10,56,22,0
OBC,59,59,22,1
OBC,26,54,47,1
OBC,45,58,24,1
SC,11,17,0,0
OBC,17,8,40,0
General,41,20,34,0
ST,53,35,16,1
EWS,65,33,26,1
General,0,73,38,1
General,17,33,23,0
ST,95,71,5,1
General,12,30,13,0
OBC,29,48,55,1
General,17,43,17,0
General,46,52,21,1
OBC,21,42,27,1
OBC,28,18,32,0
General,16,43,6,0
OBC,63,73,18,1
ST,64,41,25,1
EWS,53,26,33,1
EWS,-6,63,47,1
General,40,9,27,0
General,37,40,42,1
OBC,36,34,3,0
ST,49,84,13,1
ST,37,54,36,1
General,54,66,11,1
OBC,38,12,32,0
General,61,-1,29,0
SC,37,79,20,1
OBC,24,10,29,0
General,44,50,49,1
OBC,17,21,60,1
SC,31,51,54,1
General,38,43,43,1
OBC,18,42,45,1
General,-10,44,27,0
General,21,1,46,0
OBC,17,4,31,0
EWS,5,37,25,0
OBC,-10,40,11,0
OBC,34,0,10,0
EWS,34,20,25,0
ST,29,34,34,1
OBC,30,-3,61,0
OBC,52,47,53,1
EWS,50,26,0,0
SC,26,67,15,1
EWS,-8,33,12,0
General,22,21,41,0
OBC,23,60,20,1
ST,18,100,33,1
General,45,31,4,0
SC,22,68,-2,1
OBC,24,57,5,0
General,36,66,23,1
ST,59,22,29,1
SC,11,51,25,1
EWS,47,32,18,1
General,3,30,10,0
EWS,16,68,19,1
OBC,54,50,32,1
ST,24,29,-2,1
General,64,95,37,1
General,9,40,45,0
General,-7,37,48,0
OBC,30,60,28,1
SC,19,37,46,1
ST,26,30,24,1
OBC,8,39,55,1
OBC,5,71,21,1
General,43,6,8,0
EWS,42,24,26,1
ST,29,45,58,1
OBC,57,61,37,1
General,41,-2,49,0
General,34,45,30,1
SC,66,42,14,1
OBC,34,28,53,1
SC,66,39,43,1
General,23,47,17,0
EWS,2,31,39,0
ST,36,49,46,1
ST,33,24,37,1
General,23,43,31,0
SC,68,32,11,1
EWS,36,61,32,1
OBC,41,23,23,0
OBC,21,61,29,1
OBC,33,23,7,0
EWS,37,74,36,1
General,45,57,39,1
General,62,45,0,1
OBC,28,34,44,1
EWS,30,64,39,1
SC,57,40,25,1
General,56,11,25,0
SC,16,16,2,0
SC,45,40,62,1
OBC,29,70,40,1
OBC,25,42,29,1
General,46,38,27,1
General,32,-10,19,0
SC,-10,14,50,0
SC,55,19,29,1
General,40,67,13,1
EWS,43,71,10,1
OBC,28,61,18,1
General,43,28,38,1
OBC,62,42,36,1
General,5,-10,31,0
SC,39,41,35,1
OBC,45,76,7,1
General,52,38,5,0
General,30,53,73,1
General,7,13,25,0
OBC,57,64,-9,1
OBC,19,42,47,1
OBC,45,40,44,1
OBC,26,14,65,1
General,42,47,24,1
General,35,12,16,0
OBC,60,40,5,1
OBC,23,20,45,0
General,63,21,12,0
OBC,36,11,25,0
SC,20,63,13,1
EWS,68,17,22,1
EWS,33,23,51,1
OBC,17,37,-5,0
General,47,15,46,1
General,45,53,69,1
OBC,47,47,68,1
SC,62,10,19,1
General,67,51,31,1
OBC,56,74,40,1
General,44,45,43,1
SC,58,42,37,1
OBC,72,49,35,1
ST,19,-3,45,1
General,63,-10,26,0
EWS,66,70,19,1
General,26,43,42,1
OBC,30,30,17,0
General,41,96,31,1
General,-5,70,25,0
OBC,31,51,17,1
OBC,46,12,42,1
OBC,30,22,17,0
OBC,31,38,30,1
EWS,43,49,15,1
EWS,39,35,30,1
General,6,60,45,1
General,0,49,19,0
General,72,-10,23,0
OBC,36,35,29,1
OBC,10,42,9,0
SC,44,54,24,1
ST,50,34,0,1
ST,51,17,24,1
OBC,35,40,25,1
ST,53,17,47,1
General,40,61,17,1
EWS,42,31,21,1
General,1,12,40,0
General,80,12,26,1
ST,19,-10,8,0
EWS,24,52,37,1
General,36,45,17,0
OBC,61,59,54,1
OBC,23,72,22,1
General,30,17,25,0
OBC,4,34,6,0
EWS,54,16,20,1
General,13,71,23,1
General,45,36,-7,0
OBC,42,32,59,1
General,25,22,17,0
General,6,56,43,1
General,22,41,54,1
General,62,84,-6,1
SC,87,23,17,1
General,9,47,37,0
General,10,45,43,0
OBC,13,35,29,0
OBC,6,80,20,1
General,28,18,32,0
OBC,27,63,17,1
OBC,22,31,26,0
OBC,39,37,53,1
General,33,24,39,0
General,11,49,20,0
General,37,46,54,1
General,18,20,10,0
OBC,30,26,41,1
EWS,54,51,44,1
OBC,39,54,5,1
EWS,18,52,43,1
General,55,30,22,1
OBC,14,27,55,1
OBC,25,71,29,1
General,10,3,4,0
SC,48,49,29,1
ST,42,91,29,1
General,54,53,49,1
General,57,14,24,0
General,25,15,49,0
SC,14,41,23,1
OBC,-9,39,45,0
OBC,-10,30,59,0
OBC,44,27,11,0
General,59,90,31,1
ST,43,5,15,1
OBC,25,18,10,0
SC,32,23,34,1
General,67,52,40,1
ST,23,62,24,1
General,-6,57,41,0
ST,40,1,34,1
General,30,66,4,0
OBC,47,21,9,0
General,19,41,31,0
OBC,20,50,51,1
EWS,25,49,20,1
OBC,27,20,46,1
General,36,68,7,1
OBC,17,19,37,0
OBC,21,33,17,0
EWS,11,38,41,1
OBC,7,29,33,0
OBC,37,35,34,1
General,41,51,39,1
General,20,38,52,1
OBC,3,12,42,0
ST,-1,9,26,0
SC,36,58,25,1
OBC,84,58,35,1
EWS,17,22,-3,0
General,45,29,24,0
General,20,27,11,0
OBC,28,23,41,1
OBC,36,-10,5,0
SC,36,81,34,1
SC,28,39,43,1
EWS,3,41,14,0
OBC,38,14,38,1
OBC,23,45,42,1
EWS,36,54,28,1
ST,34,37,8,1
OBC,18,40,-4,0
General,20,42,67,1
OBC,23,61,18,1
OBC,46,68,32,1
OBC,61,11,47,1
OBC,59,24,35,1
EWS,35,61,23,1
General,35,61,36,1
OBC,22,56,24,1
SC,60,68,6,1
EWS,45,13,33,1
ST,46,50,48,1
ST,70,30,19,1
SC,26,25,73,1
OBC,79,15,14,1
OBC,16,31,47,1
OBC,47,15,28,1
OBC,11,61,40,1
EWS,13,21,21,0
General,29,3,21,0
OBC,25,44,53,1
SC,53,56,31,1
General,14,54,45,1
SC,47,53,33,1
General,23,32,42,0
OBC,31,4,36,0
OBC,15,26,18,0
General,42,35,3,0
EWS,14,36,14,0
General,47,30,30,1
EWS,-1,8,33,0
SC,31,34,28,1
SC,38,47,49,1
SC,20,22,37,1
OBC,37,37,30,1
EWS,33,48,43,1
OBC,75,56,34,1
General,-6,30,48,0
ST,20,-9,56,1
OBC,65,59,48,1
OBC,8,52,7,0
SC,44,53,44,1
OBC,2,46,51,1
SC,14,7,46,1
General,30,50,20,0
General,30,-1,51,0
OBC,0,97,16,1
General,41,56,26,1
OBC,-3,-9,32,0
General,25,29,8,0
OBC,66,18,24,1
SC,25,26,31,1
OBC,40,60,44,1
SC,17,51,4,1
General,67,1,27,0
OBC,36,71,50,1
OBC,26,55,21,1
General,6,20,1,0
General,49,27,9,0
SC,20,54,30,1
ST,40,31,43,1
OBC,18,100,25,1
OBC,30,11,9,0
OBC,56,61,41,1
General,38,24,21,0
OBC,1,44,61,1
EWS,15,14,25,0
OBC,56,28,-10,0
OBC,24,44,45,1
EWS,27,49,23,1
ST,80,40,55,1
OBC,52,36,56,1
OBC,93,25,50,1
OBC,17,41,50,1
EWS,9,36,37,0
SC,18,27,18,1
SC,-10,4,7,0
OBC,54,60,31,1
SC,49,16,20,1
ST,1,18,38,1
OBC,22,25,83,1
General,19,54,37,1
SC,47,69,50,1
General,13,46,38,0
General,26,53,22,0
EWS,25,38,52,1
OBC,58,57,21,1
SC,37,55,42,1
General,33,16,36,0
OBC,63,64,21,1
General,15,47,11,0
SC,36,7,40,1
OBC,43,90,35,1
General,41,17,45,0
General,0,61,36,0
SC,56,23,17,1
OBC,38,100,33,1
OBC,20,66,25,1
General,27,50,40,1
SC,-3,40,40,1
OBC,11,-1,-1,0
General,52,13,17,0
EWS,61,23,11,1
General,52,14,27,0
EWS,55,39,14,1
OBC,36,59,64,1
General,45,75,59,1
OBC,14,65,40,1
General,69,84,38,1
General,73,43,54,1
General,34,23,47,0
OBC,31,30,36,1
EWS,57,9,37,1
General,10,30,22,0
OBC,27,58,-7,0
SC,43,24,32,1
OBC,49,55,17,1
General,14,13,63,0
General,62,35,19,1
EWS,24,55,44,1
SC,49,51,45,1
General,35,50,33,1
OBC,54,45,54,1
EWS,30,31,64,1
EWS,20,22,27,0
OBC,33,-10,31,0
General,41,31,50,1
SC,13,92,62,1
OBC,59,53,34,1
OBC,19,10,44,0
ST,28,57,51,1
General,58,37,34,1
EWS,-6,16,12,0
EWS,31,15,38,0
SC,45,28,13,1
OBC,36,49,36,1
General,9,82,43,1
ST,14,75,25,1
SC,16,43,20,1
General,15,30,25,0
EWS,40,53,74,1
OBC,49,40,26,1
General,25,59,27,1
EWS,41,13,44,1
SC,18,78,31,1
EWS,57,60,-7,1
OBC,46,20,53,1
ST,47,32,30,1
OBC,30,11,-3,0
General,47,0,-1,0
OBC,19,27,25,0
OBC,33,52,5,1
OBC,35,40,42,1
General,53,79,32,1
SC,-7,29,-2,0
General,20,63,22,1
General,46,12,6,0
OBC,56,2,42,1
EWS,29,86,37,1
SC,50,50,-1,1
OBC,31,80,4,1
ST,45,10,28,1
General,5,27,49,0
OBC,36,24,15,0
General,35,8,24,0
OBC,38,24,21,0
OBC,39,39,34,1
General,17,48,-3,0
General,32,82,32,1
OBC,63,18,34,1
General,27,26,32,0
General,27,43,-4,0
OBC,28,60,37,1
OBC,27,42,54,1
OBC,57,49,-3,1
General,41,40,20,0
General,30,50,57,1
OBC,31,43,41,1
General,55,18,29,0
General,58,27,34,1
OBC,26,54,13,1
OBC,36,34,31,1
OBC,40,55,31,1
ST,22,48,29,1
SC,53,42,24,1
General,0,14,47,0
General,55,55,13,1
General,9,15,43,0
OBC,-10,9,27,0
SC,15,27,53,1
SC,31,37,8,1
OBC,43,52,26,1
OBC,10,47,26,0
EWS,28,44,6,0
General,39,77,55,1
General,18,63,62,1
ST,17,9,18,0
General,64,46,33,1
General,25,22,33,0
General,46,34,28,1
OBC,23,72,19,1
General,11,69,-3,0
OBC,32,43,56,1
General,26,24,33,0
General,41,37,51,1
OBC,37,48,49,1
General,49,19,19,0
OBC,53,40,23,1
SC,77,66,30,1
General,26,14,-3,0
EWS,45,27,57,1
General,38,24,19,0
EWS,43,67,34,1
OBC,59,61,47,1
General,54,77,-10,1
SC,41,37,36,1
General,3,40,4,0
ST,68,59,51,1
ST,50,55,41,1
General,22,72,0,0
General,8,31,5,0
General,5,8,-4,0
General,44,38,26,1
SC,9,17,29,0
General,49,47,40,1
General,41,55,30,1
OBC,66,-9,35,1
OBC,36,49,45,1
General,49,20,38,1
OBC,100,11,42,1
OBC,27,54,24,1
SC,61,55,51,1
EWS,56,54,16,1
EWS,57,52,7,1
OBC,43,81,22,1
SC,24,17,18,0
General,31,30,39,0
OBC,52,44,53,1
OBC,56,39,48,1
General,49,49,69,1
OBC,34,62,11,1
OBC,22,79,29,1
OBC,45,26,35,1
SC,11,39,-1,0
General,51,68,16,1
SC,44,47,44,1
SC,44,47,22,1
OBC,45,46,29,1
SC,5,46,52,1
General,42,27,32,0
General,25,22,23,0
OBC,64,-10,34,0
General,18,13,37,0
General,32,58,48,1
General,59,0,46,1
General,20,0,9,0
EWS,40,61,2,1
General,54,49,5,1
EWS,80,46,40,1
General,29,26,18,0
General,10,38,18,0
OBC,36,40,33,1
OBC,25,53,22,1
General,70,76,46,1
General,17,11,14,0
EWS,54,55,7,1
EWS,28,64,25,1
EWS,14,59,34,1
OBC,34,32,21,0
SC,41,38,32,1
General,55,60,63,1
General,63,58,6,1
OBC,51,25,35,1
General,31,42,50,1
OBC,46,18,50,1
ST,23,50,19,1
OBC,18,49,33,1
SC,61,21,38,1
OBC,49,48,57,1
SC,7,2,47,0
OBC,32,42,17,1
OBC,25,27,57,1
OBC,22,58,38,1
General,37,40,36,1
General,5,64,23,0
OBC,41,62,7,1
EWS,48,22,51,1
OBC,40,27,51,1
SC,60,63,31,1
SC,49,46,34,1
OBC,12,14,38,0
OBC,31,48,21,1
SC,23,68,57,1
General,40,71,40,1
OBC,-5,42,29,0
General,22,61,58,1
General,67,18,14,0
General,25,52,24,0
General,44,38,36,1
ST,0,39,18,1
General,21,28,51,0
OBC,11,62,6,0
General,35,34,30,0
SC,71,10,29,1
SC,4,27,6,0
General,31,74,30,1
General,60,32,28,1
SC,59,23,51,1
OBC,58,86,10,1
General,13,40,4,0
OBC,33,39,36,1
EWS,19,29,-10,0
General,9,66,-10,0
OBC,44,39,58,1
OBC,15,26,63,1
EWS,6,24,46,0
General,42,20,29,0
General,68,62,8,1
General,45,21,32,0
EWS,32,39,30,1
OBC,27,85,25,1
OBC,60,26,59,1
SC,16,0,36,0
OBC,44,57,16,1
General,66,18,54,1
OBC,26,12,24,0
OBC,5,30,29,0
General,20,50,20,0
General,51,51,55,1
ST,54,22,25,1
OBC,95,55,19,1
OBC,13,23,24,0
OBC,8,-1,22,0
EWS,38,64,47,1
General,45,65,32,1
OBC,11,29,-4,0
OBC,-10,41,1,0
OBC,21,54,21,1
ST,49,69,4,1
General,43,18,52,1
OBC,58,55,23,1
ST,54,44,41,1
OBC,19,68,51,1
OBC,2,24,37,0
SC,7,44,26,1
SC,34,14,32,1
OBC,46,57,16,1
SC,52,88,16,1
General,-9,80,33,0
EWS,47,19,4,0
General,46,52,54,1
OBC,63,70,40,1
OBC,22,33,19,0
SC,20,49,60,1
General,6,45,9,0
EWS,23,43,18,0
SC,27,27,26,1
General,19,28,27,0
EWS,15,11,57,0
OBC,56,25,-1,0
SC,20,71,49,1
ST,51,54,15,1
EWS,35,55,18,1
General,8,35,20,0
SC,57,50,17,1
ST,47,9,20,1
OBC,51,64,2,1
General,29,29,40,0
OBC,16,77,36,1
General,-10,63,28,0
SC,60,5,51,1
ST,10,12,32,1
OBC,50,41,41,1
ST,48,35,32,1
General,43,19,17,0
OBC,47,10,59,1
General,51,43,33,1
General,13,39,0,0
SC,38,60,36,1
OBC,33,33,44,1
General,58,41,48,1
General,43,13,53,1
SC,34,65,33,1
EWS,37,27,53,1
General,58,40,51,1
SC,25,32,47,1
General,54,31,-1,0
OBC,29,85,11,1
General,62,81,2,1
OBC,5,44,30,0
EWS,17,54,49,1
General,5,29,28,0
OBC,75,43,17,1
General,51,50,67,1
EWS,37,52,43,1
SC,46,20,20,1
General,27,53,37,1
OBC,-9,6,37,0
General,39,89,22,1
General,49,68,49,1
General,24,59,82,1
EWS,62,45,43,1
General,42,45,34,1
General,59,34,69,1
ST,28,23,29,1
OBC,48,27,30,1
OBC,74,24,46,1
OBC,31,38,3,0
General,25,51,30,1
General,20,42,62,1
OBC,17,62,0,0
OBC,60,29,36,1
General,29,12,5,0
SC,40,27,13,1
General,6,91,7,0
SC,23,61,22,1
OBC,57,8,50,1
OBC,44,36,-3,0
SC,32,10,25,1
General,31,48,12,0
General,47,34,33,1
EWS,56,56,34,1
SC,35,60,4,1
General,41,56,44,1
SC,-10,43,5,0
SC,63,18,32,1
General,52,51,78,1
General,12,-10,49,0
EWS,49,45,13,1
General,42,38,48,1
SC,25,26,47,1
OBC,29,9,23,0
OBC,40,78,31,1
General,-4,33,46,0
OBC,44,28,27,1
General,47,12,40,0
EWS,50,50,1,1
EWS,66,18,16,1
ST,24,52,8,1
OBC,37,43,53,1
General,4,13,66,0
ST,51,37,49,1
OBC,20,78,34,1
SC,13,69,-6,1
General,53,21,50,1
OBC,50,39,10,1
OBC,59,35,29,1
General,20,36,29,0
General,73,53,17,1
SC,58,41,40,1
OBC,67,71,49,1
General,34,54,19,1
OBC,34,36,30,1
SC,28,66,43,1
OBC,12,31,8,0
OBC,57,90,38,1
EWS,19,67,19,1
OBC,29,16,51,1
General,10,40,36,0
General,8,33,26,0
General,68,-10,42,0
OBC,33,21,-3,0
OBC,57,82,52,1
General,56,46,39,1
OBC,16,62,9,0
SC,35,50,38,1
OBC,0,0,23,0
OBC,31,27,27,0
EWS,14,44,37,1
General,18,81,32,1
EWS,64,55,39,1
ST,41,39,23,1
General,21,-10,35,0
SC,58,5,16,1
General,42,36,9,0
General,4,90,41,1
ST,40,44,31,1
EWS,54,21,58,1
EWS,47,43,40,1
General,29,98,45,1
SC,21,85,49,1
OBC,29,2,34,0
EWS,25,59,15,1
General,22,42,32,0
General,25,43,58,1
ST,49,69,4,1
OBC,40,-6,0,0
General,14,35,40,0
OBC,48,37,6,1
General,36,32,27,0
OBC,49,28,23,1
OBC,37,39,29,1
General,36,44,17,0
General,44,67,25,1
OBC,52,25,51,1
ST,1,65,51,1
General,32,56,31,1
OBC,12,55,10,0
OBC,0,58,12,0
General,52,41,57,1
General,27,22,55,0
OBC,60,32,28,1
General,37,43,24,0
OBC,50,40,1,1
General,64,27,35,1
General,30,29,29,0
General,38,-10,47,0
OBC,18,20,41,0
EWS,41,54,22,1
SC,26,53,29,1
OBC,43,60,11,1
General,61,31,60,1
General,8,44,7,0
General,57,83,26,1
SC,46,7,28,1
General,36,22,29,0
EWS,24,49,63,1
ST,37,46,23,1
OBC,35,42,42,1
General,23,-4,49,0
General,6,14,36,0
OBC,-10,74,24,0
OBC,9,45,8,0
EWS,37,46,10,1
OBC,34,30,49,1
General,26,47,50,1
General,43,70,19,1
General,33,68,35,1
General,48,56,40,1
SC,5,15,48,1
OBC,20,33,31,0
EWS,36,27,11,0
General,37,22,31,0
General,29,34,41,0
OBC,39,27,58,1
General,19,34,60,1
OBC,56,3,42,1
OBC,36,33,11,0
SC,29,10,68,1
OBC,24,15,11,0
ST,32,19,49,1
General,0,34,-4,0
OBC,33,76,30,1
General,46,35,45,1
OBC,-5,45,27,0
EWS,80,38,41,1
OBC,51,88,-1,1
OBC,46,76,11,1
OBC,15,59,44,1
EWS,17,20,27,0
OBC,15,83,53,1
General,68,51,34,1
General,-10,45,60,0
ST,28,11,27,1
OBC,48,67,41,1
General,6,33,32,0
General,35,30,54,1
EWS,17,27,22,0
OBC,32,55,-3,0
General,54,46,22,1
General,63,38,49,1
General,21,25,15,0
General,6,29,25,0
OBC,38,51,31,1
OBC,44,14,52,1
General,56,47,35,1
General,48,24,59,1
OBC,32,51,61,1
OBC,55,37,13,1
EWS,41,24,6,0
OBC,46,21,8,0
OBC,14,49,11,0
ST,14,30,12,1
OBC,1,41,52,1
OBC,43,52,25,1
General,38,33,35,1
OBC,32,28,17,0
OBC,64,-7,29,0
OBC,51,23,39,1
ST,28,71,36,1
General,3,35,37,0
SC,25,35,6,1
OBC,78,10,-4,0
SC,44,39,29,1
OBC,43,43,37,1
EWS,45,58,54,1
General,18,-1,27,0
OBC,39,9,40,0
SC,44,53,18,1
OBC,49,58,20,1
SC,63,91,19,1
General,18,42,16,0
OBC,47,29,48,1
SC,60,55,53,1
EWS,20,83,19,1
SC,36,-4,14,0
OBC,49,57,16,1
EWS,46,32,42,1
EWS,18,38,42,1
OBC,27,44,12,0
General,13,31,16,0
OBC,45,36,18,1
General,74,69,26,1
OBC,42,17,34,1
OBC,74,11,21,1
EWS,12,22,45,0
General,17,62,33,1
OBC,32,61,10,1
OBC,46,44,4,1
OBC,59,22,30,1
OBC,26,39,60,1
OBC,51,38,47,1
General,11,28,26,0
General,37,31,30,0
ST,13,43,0,1
EWS,22,70,17,1
OBC,-10,43,30,0
OBC,61,75,75,1
General,64,21,34,1
SC,-2,23,10,0
General,52,39,10,0
OBC,10,41,24,0
SC,21,47,50,1
SC,19,6,13,0
EWS,24,34,12,0
SC,57,83,22,1
OBC,43,49,12,1
OBC,26,29,37,1
OBC,-10,46,36,0
EWS,29,19,46,1
OBC,9,31,4,0
OBC,50,59,34,1
General,44,-10,28,0
General,34,35,37,1
General,-2,36,55,0
ST,20,57,30,1
General,38,41,26,1
General,65,46,19,1
General,64,80,47,1
SC,45,51,11,1
General,23,48,21,0
SC,39,21,33,1
OBC,29,45,27,1
General,47,57,50,1
SC,73,41,37,1
OBC,42,18,6,0
OBC,45,60,11,1
OBC,26,52,30,1
OBC,19,34,19,0
ST,25,1,0,0
General,17,83,38,1
SC,50,46,34,1
OBC,43,53,17,1
SC,13,62,3,1
General,21,20,47,0
General,-10,51,41,0
EWS,-1,28,22,0
OBC,30,49,39,1
General,14,68,33,1
OBC,62,71,43,1
SC,80,60,24,1
OBC,-4,53,56,1
SC,60,29,74,1
General,26,57,17,0
OBC,15,43,51,1
OBC,31,75,31,1
General,0,45,34,0
General,38,40,28,1
OBC,16,12,67,1
OBC,54,17,3,0
OBC,29,36,48,1
General,28,-1,24,0
ST,49,38,32,1
General,53,21,22,0
SC,48,51,67,1
OBC,55,51,-4,1
OBC,33,15,50,1
General,3,28,4,0
ST,26,31,46,1
SC,60,47,66,1
General,25,43,5,0
ST,44,30,0,1
General,40,55,6,0
General,14,18,57,0
EWS,25,25,48,1
ST,48,29,42,1
General,43,77,10,1
OBC,17,41,53,1
General,44,56,16,1
General,67,55,47,1
OBC,-10,28,51,0
SC,35,46,38,1
SC,46,3,1,0
OBC,50,43,40,1
SC,14,-4,44,0
General,12,20,33,0
General,50,50,33,1
OBC,38,38,-10,0
ST,39,76,63,1
ST,22,46,41,1
ST,38,-7,54,1
General,1,47,2,0
General,36,25,23,0
General,34,42,34,1
OBC,48,75,19,1
ST,48,37,48,1
OBC,20,90,28,1
EWS,16,17,60,1
